"codigo","descritor_do_codigo","fase_corrente_ano","fase_corrente_desc","fase_intermediaria_ano","fase_intermediaria_desc","destinacao_final_ano","destinacao_final_desc","observacoes_ano","observacoes_desc"
"000","ADMINISTRAÇÃO GERAL","","","","","","","",""
"001","RELAÇÃO INTERINSTITUCIONAL","","Enquanto vigora","","20 anos","","Guarda permanente","",""
"002","ATENDIMENTO AO CIDADÃO","","","","","","","",""
"002.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"002.1","ACESSO À INFORMAÇÃO","","","","","","","",""
"002.11","PEDIDO DE ACESSO À INFORMAÇÃO E RECURSO","","Até o término do atendimento*","","5 anos","","Eliminação","","* Aguardar o resultado do provimento do recurso em última instância, no caso de indeferimento do pedido de acesso."
"002.12","ACOMPANHAMENTO DO ATENDIMENTO AO CIDADÃO","","2 anos","","–","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações estejam recapituladas ou consolidadas em outros."
"002.2","CONTROLE DE SATISFAÇÃO DO USUÁRIO","","2 anos","","–","","Eliminação","",""
"003","CONTROLE E FISCALIZAÇÃO DA GESTÃO PÚBLICA","","","","","","Eliminar, após 2 anos, os documentos cujas informações estejam recapituladas ou consolidadas em outros.","",""
"003.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"003.1","CONTROLE INTERNO. AUDITORIA INTERNA","","5 anos","","9 anos","","Guarda permanente","",""
"003.2","AÇÃO PREVENTIVA","","5 anos","","9 anos","","Guarda permanente","",""
"003.3","CORREIÇÃO","","5 anos","","9anos","","Guarda permanente","",""
"004","ASSESSORAMENTO JURÍDICO","","","","","","","",""
"004.1","ORIENTAÇÃO TÉCNICA E NORMATIVA","","","","","","","",""
"004.11","UNIFORMIZAÇÃO DO ENTENDIMENTO JURÍDICO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"004.12","ANÁLISE DOS INSTRUMENTOS ADMINISTRATIVOS","","Até o término da análise","","5 anos","","Eliminação","",""
"004.2","ATUAÇÃO EM CONTENCIOSO","","","","","","","",""
"004.21","REPRESENTAÇÃO EXTRAJUDICIAL","","Até a solução do litígio","","5 anos","","Guarda permanente","",""
"004.22","REPRESENTAÇÃO JUDICIAL","","Até o trânsito em julgado","","5 anos","","Guarda permanente","",""
"005","PARTICIPAÇÃO EM ÓRGÃOS COLEGIADOS","","","","","","","",""
"005.1","CRIAÇÃO E ATUAÇÃO","","4 anos","","5 anos","","Guarda permanente","",""
"005.2","OPERACIONALIZAÇÃO DE REUNIÕES","","2 anos","","–","","Eliminação","",""
"010","ORGANIZAÇÃO E FUNCIONAMENTO","","","","","","","",""
"010.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"011","ORGANIZAÇÃO ADMINISTRATIVA","","Enquanto vigora","","5 anos","","Guarda permanente","","Eliminar, após 2 anos, os estudos preliminares ou as versões não implementadas das mudanças estruturais."
"012","HABILITAÇÃO JURÍDICA E REGULARIZAÇÃO FISCAL","","Enquanto vigora","","2 anos","","Eliminação","",""
"013","COORDENAÇÃO E GESTÃO DE REUNIÕES","","","","","","","",""
"013.1","OPERACIONALIZAÇÃO","","2 anos","","–","","Eliminação","",""
"013.2","REGISTRO DE DELIBERAÇÕES","","4 anos","","5 anos","","Guarda permanente","",""
"014","PREENCHIMENTO DE FUNÇÃO DE DIREÇÃO","","","","","","","",""
"014.1","NOMEAÇÃO E ATUAÇÃO DA COMISSÃO ELEITORAL","","Até a homologação do evento","","1 ano","","Guarda permanente","",""
"014.2","INSCRIÇÃO","","Até a homologação do evento","","1 ano","","Eliminação","",""
"014.3","VOTAÇÃO","","Até a homologação do evento","","1 ano","","Guarda permanente","","Eliminar, após 2 anos da homologação do evento, as cédulas de votação."
"014.4","DIVULGAÇÃO DOS RESULTADOS E INTERPOSIÇÃO DE RECURSOS","","Até a homologação do evento","","1 ano","","Guarda permanente","","* Aguardar o término da ação, no caso de interposição de recursos. Eliminar, após 2 anos da homologação do evento, os documentos de recursos indeferidos."
"015","GESTÃO INSTITUCIONAL","","","","","","","",""
"015.1","PLANEJAMENTO INSTITUCIONAL","","5 anos","","9 anos","","Guarda permanente","",""
"015.2","ACOMPANHAMENTO DAS ATIVIDADES","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"015.3","AVALIAÇÃO DA GESTÃO INSTITUCIONAL","","","","","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros.","",""
"015.31","ELABORAÇÃO DOS INSTRUMENTOS DE AVALIAÇÃO","","5 anos","","9 anos","","Guarda permanente","",""
"015.32","EXECUÇÃO E ACOMPANHAMENTO","","5 anos","","9 anos","","Guarda permanente","",""
"015.33","CERTIFICAÇÃO DA CONFORMIDADE","","5 anos","","9 anos","","Guarda permanente","",""
"016","GESTÃO DE PROCESSOS","","","","","","","",""
"016.1","PLANEJAMENTO DO MAPEAMENTO DE PROCESSOS","","5 anos","","9 anos","","Guarda permanente","",""
"016.2","EXECUÇÃO E ACOMPANHAMENTO","","5 anos","","9 anos","","Eliminação","",""
"016.3","RESULTADO","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"016.4","MODELAGEM DE PROCESSOS","","5 anos","","9 anos","","Guarda permanente","",""
"016.5","GERENCIAMENTO DE DESEMPENHO","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"017","GESTÃO AMBIENTAL","","","","","","","",""
"017.1","PROTEÇÃO AMBIENTAL INTERNA","","Enquanto vigora o evento","","2 anos","","Eliminação","","Arquivar um exemplar do material de divulgação produzido para cada evento."
"017.2","PROTEÇÃO AMBIENTAL EXTERNA","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
